=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:40:09: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwDoCsAaO4Ces4EYBfDcABjQXAwmnjxNSMzIA5wBdNAKDClwCZUxHPAC09ZgHYUjUmj6U41XHiQkZZACwKl8Zg2JkJ23rVXq0ATnZceNOCkGZhcMUknSDaFMbsA2fUxovtbcOnD06E64ru7EAMa44ADEEqlp4OYkxgnwyXH5BRmeeD7KGgGydNmJSQCG9Q1FgXglHKEmiI7Y0fQIUvE1BYUyeOSltBEjaKxttvxdzjFSU-JUHSpqxKNaa3Z6HpijRrvKZluWIXPwDpHdouLL594n8P4H4KPBs2ERQj1u-UwOUwdQa9SaHzQWTWwLyQwSUxKL3w5VusNBYIhoyqMJqaXSiNaNjCyFui16gPA6PhCOIfDGyLoXXRYPBMnpM2JHQEZP+sSBg3hEPpq0U6zOmHpOzFewq9OOMtOZAFuQxjXZF2+HRuf3uALRgqGwq84zgbw1Xy5dl+UT1-KpNVZtWN0LF1KFGqRitoqIGqqdxpxkrQLUuJIW-z67wQDO9+EmxBjnPadh5upcD2jclNeB5MhjVi1djwyGY6dcj0wMaMRdwvttGf1+bQWlr1wjesp7qNzeecf8fCzXzYQA
13:40:13: [INFO] Adding track segment (B.Cu): [(154940000, 61972500), (157480000, 64512500)]
13:40:13: [INFO] Routing SW5 with D5
13:40:13: [INFO] Using internal autorouter method
13:40:13: [INFO] Routing pad 'SW5:2' at (135890000, 54451250) with pad 'D5:2' at (138430000, 62131250) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(135890000, 54451250), (135890000, 59591250)]
13:40:13: [INFO] Adding track segment (B.Cu): [(135890000, 59591250), (138430000, 62131250)]
13:40:13: [INFO] Routing SW4 with D4
13:40:13: [INFO] Using internal autorouter method
13:40:13: [INFO] Routing pad 'SW4:2' at (116840000, 52070000) with pad 'D4:2' at (119380000, 59750000) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(116840000, 52070000), (116840000, 57210000)]
13:40:13: [INFO] Adding track segment (B.Cu): [(116840000, 57210000), (119380000, 59750000)]
13:40:13: [INFO] Routing SW3 with D3
13:40:13: [INFO] Using internal autorouter method
13:40:13: [INFO] Routing pad 'SW3:2' at (97790000, 54451250) with pad 'D3:2' at (100330000, 62131250) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(97790000, 54451250), (97790000, 59591250)]
13:40:13: [INFO] Adding track segment (B.Cu): [(97790000, 59591250), (100330000, 62131250)]
13:40:13: [INFO] Routing SW2 with D2
13:40:13: [INFO] Using internal autorouter method
13:40:13: [INFO] Routing pad 'SW2:2' at (78740000, 59213750) with pad 'D2:2' at (81280000, 66893750) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(78740000, 59213750), (78740000, 64353750)]
13:40:13: [INFO] Adding track segment (B.Cu): [(78740000, 64353750), (81280000, 66893750)]
13:40:13: [INFO] Routing SW1 with D1
13:40:13: [INFO] Using internal autorouter method
13:40:13: [INFO] Routing pad 'SW1:2' at (59690000, 59213750) with pad 'D1:2' at (62230000, 66893750) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(59690000, 59213750), (59690000, 64353750)]
13:40:13: [INFO] Adding track segment (B.Cu): [(59690000, 64353750), (62230000, 66893750)]
13:40:13: [INFO] Routing COL3 pads
13:40:13: [INFO] Routing pad 'SW4:1' at (110490000, 54610000) with pad 'SW16:1' at (110490000, 73660000) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (F.Cu): [(110490000, 54610000), (110490000, 73660000)]
13:40:13: [INFO] Routing pad 'SW16:1' at (110490000, 73660000) with pad 'SW28:1' at (110490000, 92710000) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (F.Cu): [(110490000, 73660000), (110490000, 92710000)]
13:40:13: [INFO] Routing pad 'SW28:1' at (110490000, 92710000) with pad 'SW38:1' at (110490000, 111760000) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (F.Cu): [(110490000, 92710000), (110490000, 111760000)]
13:40:13: [INFO] Routing ROW1 pads
13:40:13: [INFO] Routing pad 'D13:1' at (62230000, 88743750) with pad 'D14:1' at (81280000, 88743750) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(62230000, 88743750), (81280000, 88743750)]
13:40:13: [INFO] Routing pad 'D14:1' at (81280000, 88743750) with pad 'D15:1' at (100330000, 83981250) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(81280000, 88743750), (95567500, 88743750)]
13:40:13: [INFO] Adding track segment (B.Cu): [(95567500, 88743750), (100330000, 83981250)]
13:40:13: [INFO] Routing pad 'D15:1' at (100330000, 83981250) with pad 'D16:1' at (119380000, 81600000) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(100330000, 83981250), (116998750, 83981250)]
13:40:13: [INFO] Adding track segment (B.Cu): [(116998750, 83981250), (119380000, 81600000)]
13:40:13: [INFO] Routing pad 'D16:1' at (119380000, 81600000) with pad 'D17:1' at (138430000, 83981250) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(119380000, 81600000), (136048750, 81600000)]
13:40:13: [INFO] Adding track segment (B.Cu): [(136048750, 81600000), (138430000, 83981250)]
13:40:13: [INFO] Routing pad 'D17:1' at (138430000, 83981250) with pad 'D18:1' at (157480000, 86362500) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(138430000, 83981250), (155098750, 83981250)]
13:40:13: [INFO] Adding track segment (B.Cu): [(155098750, 83981250), (157480000, 86362500)]
13:40:13: [INFO] Routing pad 'D18:1' at (157480000, 86362500) with pad 'D19:1' at (300355000, 86362500) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(157480000, 86362500), (300355000, 86362500)]
13:40:13: [INFO] Routing pad 'D19:1' at (300355000, 86362500) with pad 'D20:1' at (319405000, 83981250) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(300355000, 86362500), (317023750, 86362500)]
13:40:13: [INFO] Adding track segment (B.Cu): [(317023750, 86362500), (319405000, 83981250)]
13:40:13: [INFO] Routing pad 'D20:1' at (319405000, 83981250) with pad 'D21:1' at (338455000, 81600000) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(319405000, 83981250), (336073750, 83981250)]
13:40:13: [INFO] Adding track segment (B.Cu): [(336073750, 83981250), (338455000, 81600000)]
13:40:13: [INFO] Routing pad 'D21:1' at (338455000, 81600000) with pad 'D22:1' at (357505000, 83981250) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(338455000, 81600000), (355123750, 81600000)]
13:40:13: [INFO] Adding track segment (B.Cu): [(355123750, 81600000), (357505000, 83981250)]
13:40:13: [INFO] Routing pad 'D22:1' at (357505000, 83981250) with pad 'D23:1' at (376555000, 88743750) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(357505000, 83981250), (362267500, 88743750)]
13:40:13: [INFO] Adding track segment (B.Cu): [(362267500, 88743750), (376555000, 88743750)]
13:40:13: [INFO] Routing pad 'D23:1' at (376555000, 88743750) with pad 'D24:1' at (395605000, 88743750) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(376555000, 88743750), (395605000, 88743750)]
13:40:13: [INFO] Routing ROW3 pads
13:40:13: [INFO] Routing pad 'D37:1' at (100330000, 122081250) with pad 'D38:1' at (119380000, 119700000) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(100330000, 122081250), (116998750, 122081250)]
13:40:13: [INFO] Adding track segment (B.Cu): [(116998750, 122081250), (119380000, 119700000)]
13:40:13: [INFO] Routing pad 'D38:1' at (119380000, 119700000) with pad 'D39:1' at (138430000, 129225000) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(119380000, 119700000), (128905000, 129225000)]
13:40:13: [INFO] Adding track segment (B.Cu): [(128905000, 129225000), (138430000, 129225000)]
13:40:13: [INFO] Routing pad 'D39:1' at (138430000, 129225000) with pad 'D40:1' at (157480000, 133987500) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(138430000, 129225000), (143192500, 133987500)]
13:40:13: [INFO] Adding track segment (B.Cu): [(143192500, 133987500), (157480000, 133987500)]
13:40:13: [INFO] Routing pad 'D40:1' at (157480000, 133987500) with pad 'D41:1' at (295592500, 133987500) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(157480000, 133987500), (295592500, 133987500)]
13:40:13: [INFO] Routing pad 'D41:1' at (295592500, 133987500) with pad 'D42:1' at (315595000, 126843750) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(295592500, 133987500), (308451250, 133987500)]
13:40:13: [INFO] Adding track segment (B.Cu): [(308451250, 133987500), (315595000, 126843750)]
13:40:13: [INFO] Routing pad 'D42:1' at (315595000, 126843750) with pad 'D43:1' at (338455000, 119700000) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(315595000, 126843750), (331311250, 126843750)]
13:40:13: [INFO] Adding track segment (B.Cu): [(331311250, 126843750), (338455000, 119700000)]
13:40:13: [INFO] Routing pad 'D43:1' at (338455000, 119700000) with pad 'D44:1' at (357505000, 122081250) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(338455000, 119700000), (355123750, 119700000)]
13:40:13: [INFO] Adding track segment (B.Cu): [(355123750, 119700000), (357505000, 122081250)]
13:40:13: [INFO] Routing COL0 pads
13:40:13: [INFO] Routing pad 'SW1:1' at (53340000, 61753750) with pad 'SW13:1' at (53340000, 80803750) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (F.Cu): [(53340000, 61753750), (53340000, 80803750)]
13:40:13: [INFO] Routing pad 'SW13:1' at (53340000, 80803750) with pad 'SW25:1' at (53340000, 99853750) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (F.Cu): [(53340000, 80803750), (53340000, 99853750)]
13:40:13: [INFO] Routing ROW0 pads
13:40:13: [INFO] Routing pad 'D1:1' at (62230000, 69693750) with pad 'D2:1' at (81280000, 69693750) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(62230000, 69693750), (81280000, 69693750)]
13:40:13: [INFO] Routing pad 'D2:1' at (81280000, 69693750) with pad 'D3:1' at (100330000, 64931250) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(81280000, 69693750), (95567500, 69693750)]
13:40:13: [INFO] Adding track segment (B.Cu): [(95567500, 69693750), (100330000, 64931250)]
13:40:13: [INFO] Routing pad 'D3:1' at (100330000, 64931250) with pad 'D4:1' at (119380000, 62550000) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(100330000, 64931250), (116998750, 64931250)]
13:40:13: [INFO] Adding track segment (B.Cu): [(116998750, 64931250), (119380000, 62550000)]
13:40:13: [INFO] Routing pad 'D4:1' at (119380000, 62550000) with pad 'D5:1' at (138430000, 64931250) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(119380000, 62550000), (136048750, 62550000)]
13:40:13: [INFO] Adding track segment (B.Cu): [(136048750, 62550000), (138430000, 64931250)]
13:40:13: [INFO] Routing pad 'D5:1' at (138430000, 64931250) with pad 'D6:1' at (157480000, 67312500) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(138430000, 64931250), (155098750, 64931250)]
13:40:13: [INFO] Adding track segment (B.Cu): [(155098750, 64931250), (157480000, 67312500)]
13:40:13: [INFO] Routing pad 'D6:1' at (157480000, 67312500) with pad 'D7:1' at (300355000, 67312500) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(157480000, 67312500), (300355000, 67312500)]
13:40:13: [INFO] Routing pad 'D7:1' at (300355000, 67312500) with pad 'D8:1' at (319405000, 64931250) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(300355000, 67312500), (317023750, 67312500)]
13:40:13: [INFO] Adding track segment (B.Cu): [(317023750, 67312500), (319405000, 64931250)]
13:40:13: [INFO] Routing pad 'D8:1' at (319405000, 64931250) with pad 'D9:1' at (338455000, 62550000) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(319405000, 64931250), (336073750, 64931250)]
13:40:13: [INFO] Adding track segment (B.Cu): [(336073750, 64931250), (338455000, 62550000)]
13:40:13: [INFO] Routing pad 'D9:1' at (338455000, 62550000) with pad 'D10:1' at (357505000, 64931250) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(338455000, 62550000), (355123750, 62550000)]
13:40:13: [INFO] Adding track segment (B.Cu): [(355123750, 62550000), (357505000, 64931250)]
13:40:13: [INFO] Routing pad 'D10:1' at (357505000, 64931250) with pad 'D11:1' at (376555000, 69693750) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(357505000, 64931250), (362267500, 69693750)]
13:40:13: [INFO] Adding track segment (B.Cu): [(362267500, 69693750), (376555000, 69693750)]
13:40:13: [INFO] Routing pad 'D11:1' at (376555000, 69693750) with pad 'D12:1' at (395605000, 69693750) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(376555000, 69693750), (395605000, 69693750)]
13:40:13: [INFO] Routing COL7 pads
13:40:13: [INFO] Routing pad 'SW20:1' at (310515000, 76041250) with pad 'SW8:1' at (310515000, 56991250) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (F.Cu): [(310515000, 76041250), (310515000, 56991250)]
13:40:13: [INFO] Routing pad 'SW32:1' at (310515000, 95091250) with pad 'SW20:1' at (310515000, 76041250) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (F.Cu): [(310515000, 95091250), (310515000, 76041250)]
13:40:13: [INFO] Routing pad 'SW42:1' at (306705000, 118903750) with pad 'SW32:1' at (310515000, 95091250) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (F.Cu): [(306705000, 118903750), (310515000, 115093750)]
13:40:13: [INFO] Adding track segment (F.Cu): [(310515000, 115093750), (310515000, 95091250)]
13:40:13: [INFO] Routing COL10 pads
13:40:13: [INFO] Routing pad 'SW11:1' at (367665000, 61753750) with pad 'SW23:1' at (367665000, 80803750) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (F.Cu): [(367665000, 61753750), (367665000, 80803750)]
13:40:13: [INFO] Routing pad 'SW23:1' at (367665000, 80803750) with pad 'SW35:1' at (367665000, 99853750) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (F.Cu): [(367665000, 80803750), (367665000, 99853750)]
13:40:13: [INFO] Routing COL4 pads
13:40:13: [INFO] Routing pad 'SW5:1' at (129540000, 56991250) with pad 'SW17:1' at (129540000, 76041250) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (F.Cu): [(129540000, 56991250), (129540000, 76041250)]
13:40:13: [INFO] Routing pad 'SW17:1' at (129540000, 76041250) with pad 'SW29:1' at (129540000, 95091250) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (F.Cu): [(129540000, 76041250), (129540000, 95091250)]
13:40:13: [INFO] Routing pad 'SW29:1' at (129540000, 95091250) with pad 'SW39:1' at (129540000, 121285000) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (F.Cu): [(129540000, 95091250), (129540000, 121285000)]
13:40:13: [INFO] Routing COL9 pads
13:40:13: [INFO] Routing pad 'SW10:1' at (348615000, 56991250) with pad 'SW22:1' at (348615000, 76041250) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (F.Cu): [(348615000, 56991250), (348615000, 76041250)]
13:40:13: [INFO] Routing pad 'SW22:1' at (348615000, 76041250) with pad 'SW34:1' at (348615000, 95091250) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (F.Cu): [(348615000, 76041250), (348615000, 95091250)]
13:40:13: [INFO] Routing pad 'SW34:1' at (348615000, 95091250) with pad 'SW44:1' at (348615000, 114141250) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (F.Cu): [(348615000, 95091250), (348615000, 114141250)]
13:40:13: [INFO] Routing COL11 pads
13:40:13: [INFO] Routing pad 'SW12:1' at (386715000, 61753750) with pad 'SW24:1' at (386715000, 80803750) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (F.Cu): [(386715000, 61753750), (386715000, 80803750)]
13:40:13: [INFO] Routing pad 'SW24:1' at (386715000, 80803750) with pad 'SW36:1' at (386715000, 99853750) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (F.Cu): [(386715000, 80803750), (386715000, 99853750)]
13:40:13: [INFO] Routing COL1 pads
13:40:13: [INFO] Routing pad 'SW2:1' at (72390000, 61753750) with pad 'SW14:1' at (72390000, 80803750) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (F.Cu): [(72390000, 61753750), (72390000, 80803750)]
13:40:13: [INFO] Routing pad 'SW14:1' at (72390000, 80803750) with pad 'SW26:1' at (72390000, 99853750) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (F.Cu): [(72390000, 80803750), (72390000, 99853750)]
13:40:13: [INFO] Routing COL6 pads
13:40:13: [INFO] Routing pad 'SW19:1' at (291465000, 78422500) with pad 'SW7:1' at (291465000, 59372500) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (F.Cu): [(291465000, 78422500), (291465000, 59372500)]
13:40:13: [INFO] Routing pad 'SW31:1' at (291465000, 97472500) with pad 'SW19:1' at (291465000, 78422500) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (F.Cu): [(291465000, 97472500), (291465000, 78422500)]
13:40:13: [INFO] Routing pad 'SW41:1' at (286702500, 126047500) with pad 'SW31:1' at (291465000, 97472500) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (F.Cu): [(286702500, 126047500), (291465000, 121285000)]
13:40:13: [INFO] Adding track segment (F.Cu): [(291465000, 121285000), (291465000, 97472500)]
13:40:13: [INFO] Routing ROW2 pads
13:40:13: [INFO] Routing pad 'D25:1' at (62230000, 107793750) with pad 'D26:1' at (81280000, 107793750) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(62230000, 107793750), (81280000, 107793750)]
13:40:13: [INFO] Routing pad 'D26:1' at (81280000, 107793750) with pad 'D27:1' at (100330000, 103031250) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(81280000, 107793750), (95567500, 107793750)]
13:40:14: [INFO] Adding track segment (B.Cu): [(95567500, 107793750), (100330000, 103031250)]
13:40:14: [INFO] Routing pad 'D27:1' at (100330000, 103031250) with pad 'D28:1' at (119380000, 100650000) using coordinate system rotated by 0 degree(s)
13:40:14: [INFO] Adding track segment (B.Cu): [(100330000, 103031250), (116998750, 103031250)]
13:40:14: [INFO] Adding track segment (B.Cu): [(116998750, 103031250), (119380000, 100650000)]
13:40:14: [INFO] Routing pad 'D28:1' at (119380000, 100650000) with pad 'D29:1' at (138430000, 103031250) using coordinate system rotated by 0 degree(s)
13:40:14: [INFO] Adding track segment (B.Cu): [(119380000, 100650000), (136048750, 100650000)]
13:40:14: [INFO] Adding track segment (B.Cu): [(136048750, 100650000), (138430000, 103031250)]
13:40:14: [INFO] Routing pad 'D29:1' at (138430000, 103031250) with pad 'D30:1' at (157480000, 105412500) using coordinate system rotated by 0 degree(s)
13:40:14: [INFO] Adding track segment (B.Cu): [(138430000, 103031250), (155098750, 103031250)]
13:40:14: [INFO] Adding track segment (B.Cu): [(155098750, 103031250), (157480000, 105412500)]
13:40:14: [INFO] Routing pad 'D30:1' at (157480000, 105412500) with pad 'D31:1' at (300355000, 105412500) using coordinate system rotated by 0 degree(s)
13:40:14: [INFO] Adding track segment (B.Cu): [(157480000, 105412500), (300355000, 105412500)]
13:40:14: [INFO] Routing pad 'D31:1' at (300355000, 105412500) with pad 'D32:1' at (319405000, 103031250) using coordinate system rotated by 0 degree(s)
13:40:14: [INFO] Adding track segment (B.Cu): [(300355000, 105412500), (317023750, 105412500)]
13:40:14: [INFO] Adding track segment (B.Cu): [(317023750, 105412500), (319405000, 103031250)]
13:40:14: [INFO] Routing pad 'D32:1' at (319405000, 103031250) with pad 'D33:1' at (338455000, 100650000) using coordinate system rotated by 0 degree(s)
13:40:14: [INFO] Adding track segment (B.Cu): [(319405000, 103031250), (336073750, 103031250)]
13:40:14: [INFO] Adding track segment (B.Cu): [(336073750, 103031250), (338455000, 100650000)]
13:40:14: [INFO] Routing pad 'D33:1' at (338455000, 100650000) with pad 'D34:1' at (357505000, 103031250) using coordinate system rotated by 0 degree(s)
13:40:14: [INFO] Adding track segment (B.Cu): [(338455000, 100650000), (355123750, 100650000)]
13:40:14: [INFO] Adding track segment (B.Cu): [(355123750, 100650000), (357505000, 103031250)]
13:40:14: [INFO] Routing pad 'D34:1' at (357505000, 103031250) with pad 'D35:1' at (376555000, 107793750) using coordinate system rotated by 0 degree(s)
13:40:14: [INFO] Adding track segment (B.Cu): [(357505000, 103031250), (362267500, 107793750)]
13:40:14: [INFO] Adding track segment (B.Cu): [(362267500, 107793750), (376555000, 107793750)]
13:40:14: [INFO] Routing pad 'D35:1' at (376555000, 107793750) with pad 'D36:1' at (395605000, 107793750) using coordinate system rotated by 0 degree(s)
13:40:14: [INFO] Adding track segment (B.Cu): [(376555000, 107793750), (395605000, 107793750)]
13:40:14: [INFO] Routing COL2 pads
13:40:14: [INFO] Routing pad 'SW3:1' at (91440000, 56991250) with pad 'SW15:1' at (91440000, 76041250) using coordinate system rotated by 0 degree(s)
13:40:14: [INFO] Adding track segment (F.Cu): [(91440000, 56991250), (91440000, 76041250)]
13:40:14: [INFO] Routing pad 'SW15:1' at (91440000, 76041250) with pad 'SW27:1' at (91440000, 95091250) using coordinate system rotated by 0 degree(s)
13:40:14: [INFO] Adding track segment (F.Cu): [(91440000, 76041250), (91440000, 95091250)]
13:40:14: [INFO] Routing pad 'SW27:1' at (91440000, 95091250) with pad 'SW37:1' at (91440000, 114141250) using coordinate system rotated by 0 degree(s)
13:40:14: [INFO] Adding track segment (F.Cu): [(91440000, 95091250), (91440000, 114141250)]
13:40:14: [INFO] Routing COL8 pads
13:40:14: [INFO] Routing pad 'SW9:1' at (329565000, 54610000) with pad 'SW21:1' at (329565000, 73660000) using coordinate system rotated by 0 degree(s)
13:40:14: [INFO] Adding track segment (F.Cu): [(329565000, 54610000), (329565000, 73660000)]
13:40:14: [INFO] Routing pad 'SW21:1' at (329565000, 73660000) with pad 'SW33:1' at (329565000, 92710000) using coordinate system rotated by 0 degree(s)
13:40:14: [INFO] Adding track segment (F.Cu): [(329565000, 73660000), (329565000, 92710000)]
13:40:14: [INFO] Routing pad 'SW33:1' at (329565000, 92710000) with pad 'SW43:1' at (329565000, 111760000) using coordinate system rotated by 0 degree(s)
13:40:14: [INFO] Adding track segment (F.Cu): [(329565000, 92710000), (329565000, 111760000)]
13:40:14: [INFO] Routing COL5 pads
13:40:14: [INFO] Routing pad 'SW6:1' at (148590000, 59372500) with pad 'SW18:1' at (148590000, 78422500) using coordinate system rotated by 0 degree(s)
13:40:14: [INFO] Adding track segment (F.Cu): [(148590000, 59372500), (148590000, 78422500)]
13:40:14: [INFO] Routing pad 'SW18:1' at (148590000, 78422500) with pad 'SW30:1' at (148590000, 97472500) using coordinate system rotated by 0 degree(s)
13:40:14: [INFO] Adding track segment (F.Cu): [(148590000, 78422500), (148590000, 97472500)]
13:40:14: [INFO] Routing pad 'SW30:1' at (148590000, 97472500) with pad 'SW40:1' at (148590000, 126047500) using coordinate system rotated by 0 degree(s)
13:40:14: [INFO] Adding track segment (F.Cu): [(148590000, 97472500), (148590000, 126047500)]
13:40:14: [INFO] Removing dangling tracks
